timestamp;hashtag;trackterm;count
1572214652000;#eeuu;trump;68
1572203928000;#facebook;trump;2
1572207235000;#fakenews;sanders;3
1572210024000;#fdt;trump;5
1572209909000;#fighttowin;election2020;10
1572212808000;#forthepeople;election2020;5
1572203788000;#fuckdonaldtrump;trump;6
1572212146000;#fucktrump;trump;3
1572211996000;#fuckyg;trump;6
1572216450000;#gitmo;trump;6
1572211666000;#globalist;trump;3
1572206358000;#goaxim;election2020;3
1572208639000;#godblesspotus45;trump;2
1572212920000;#goldcrackers;trump;2
1572206102000;#grimreaper;election2020;5
1572204938000;#harris2020;election2020;5
1572205680000;#hillsong;trump;166
1572208039000;#humanityfirst;trump;2
1572211726000;#icymi;trump;2
1572208683000;#idiotinchief;trump;3
1572208061000;#impeachandremovetrump;trump;2
1572212585000;#impeachtrumpmakingamerica;trump;2
1572212585000;#impeachtrumpobstructionjustice;trump;2
1572213028000;#imwithher;trump;3
1572207392000;#inevergraduatedcollege;trump;11
1572207084000;#iowa;trump;4
1572206796000;#irak;trump;3
1572208337000;#jeffreyepstein;trump;2
1572208209000;#jesusisking;trump;3
1572209014000;#joker;trump;2
1572207173000;#kirkuk;trump;3
1572211182000;#kurdsbetrayedbytrump;trump;5
1572215239000;#leadright;trump;4
1572205182000;#leaks;trump;4
1572213857000;#liar;trump;3
1572208920000;#lies;trump;8
1572207173000;#mahabad;trump;3
1572215432000;#medicareforall;sanders;23
1572216712000;#metoo;trump;2
1572205143000;#mobil;trump;3
1572211583000;#msnbc;sanders;2
1572211616000;#muellerreport;trump;4
1572213085000;#muslim;sanders;3
1572213648000;#narcissisticpersonalitydisorder;trump;2
1572212548000;#narcissist;trump;15
1572205143000;#notice;trump;6
1572208479000;#notmypresident;trump;2
1572206952000;#nullifytrump;trump;2
1572205535000;#obama;trump;316
1572215129000;#obl;trump;3
1572204029000;#obstructionist;election2020;10
1572210524000;#odu;sanders;2
1572206063000;#onevoice1;trump;11
1572211112000;#onlydeadmicetellnotales;trump;2
1572210951000;#opinion;trump;2
1572203621000;#patriot;trump;3
1572216709000;#photography;trump;3
1572216744000;#politics;election2020;2
1572211646000;#politique;election2020;27
1572212376000;#propagandashiftchange;trump;2
1572206038000;#q;trump;2
1572210612000;#quidproquo;trump;6
1572214215000;#rashidaendorsesbernie;sanders;12
1572216755000;#realitywinner;sanders;5
1572213333000;#redwave;trump;2
1572204968000;#republicansarerussianassets;trump;3
1572206128000;#republicans;election2020;4
1572208820000;#resisters;trump;55
1572215751000;#revolution;trump;3
1572212899000;#rt;trump;8
1572215347000;#southcarolina;trump;2
1572215022000;#sundaymorning;trump;37
1572204611000;#sweden;trump;3
1572214081000;#syrie;trump;17
1572211869000;#teamamy;trump;4
1572204992000;#teknoloji;trump;3
1572210492000;#theglobalresistance;trump;3
1572204436000;#traitors;trump;9
1572214563000;#transfonum;trump;4
1572211239000;#trump2020landslidevictory;trump;32
1572214817000;#trump2020;trump;285
1572213534000;#trumpcorruption;trump;2
1572204689000;#trumpcrimefamily;trump;9
1572214557000;#trumpfascism;trump;2
1572204463000;#trumpfascist;trump;6
1572205205000;#trumpimpeachment;trump;5
1572214524000;#trumpisamoron;trump;2
1572211854000;#trumpliesmatter;trump;3
1572211406000;#trumplies;trump;15
1572210726000;#trumpprotest;trump;2
1572206263000;#trumptrain;trump;4
1572209435000;#trusttrump;trump;2
1572207207000;#turkey;trump;5
1572205674000;#turquia;trump;2
1572212989000;#ukrainecollusion;biden;3
1572213326000;#ukrainecollusion;trump;18
1572208961000;#uspoli;trump;2
1572210394000;#walmart;sanders;3
1572205265000;#wapodeathnotices;sanders;2
1572216003000;#warren;trump;3
1572212569000;#washingtondc_hotel;trump;2
1572208139000;#washingtondc;trump;2
1572213629000;#wedeservebernie;sanders;2
1572216179000;#wewillwin;sanders;2
1572206509000;#winning;trump;19
1572215870000;#winwithwarren;warren;4
1572214309000;#yang2020;election2020;3
1572214419000;#youtubeandrewyang;trump;2
1572206359000;#zakho;trump;3
1572213883000;#بلومبيرج;trump;16
1572214680000;#911truth;trump;2
1572211854000;#abc;election2020;5
1572216145000;#abolishice;sanders;3
1572207799000;#alltexascannabis;biden;4
1572208743000;#amlo;trump;3
1572216426000;#amyforamerica;trump;3
1572214419000;#andrewyang;trump;2
1572206861000;#antiquesroadshow;trump;3
1572204787000;#auspol;trump;21
1572213602000;#bagdhadi;trump;3
1572215138000;#berniedetroit;trump;2
1572213924000;#bernieindetroit;sanders;221
1572209836000;#berniepb;sanders;16
1572210862000;#bernierocks;sanders;3
1572208377000;#berniesgoingtowin;trump;2
1572210491000;#binladen;trump;14
1572208018000;#brucespringsteen;trump;2
1572214197000;#canberrabubble;trump;2
1572210483000;#celebrityhunted;trump;6
1572211588000;#changethechannel;trump;3
1572209716000;#cia;trump;7
1572212017000;#cnn;trump;13
1572216750000;#creationniste;trump;5
1572205131000;#dearcandidate;election2020;2
1572205152000;#democratic;trump;4
1572208732000;#dnc;trump;7
1572210109000;#dumptrump;trump;5
1572205341000;#erdogan;trump;2
1572215188000;#fakenewsmedia;election2020;6
1572204986000;#feelthebern;sanders;26
1572206791000;#fightfor15;sanders;3
1572216786000;#firststepact;trump;2
1572207126000;#foxnewssunday;trump;2
1572207030000;#foxnews;warren;11
1572211588000;#getover2016;trump;7
1572204576000;#godblesspresidenttrump;trump;6
1572205921000;#golfing;trump;3
1572203749000;#goptaxscam;election2020;5
1572213086000;#gotnewscom;trump;2
1572211588000;#gulliblesheeple;trump;3
1572213288000;#hiphopradio;trump;2
1572207642000;#hollywood;trump;3
1572214098000;#housingforall;sanders;8
1572206872000;#humanrights;sanders;3
1572209074000;#impeached;trump;6
1572212994000;#impeachmentinquiry;election2020;4
1572216296000;#impeachtrumppencebarrpompeokavanaughmulvaney;trump;3
1572214256000;#impeachtrumppencebarr;trump;10
1572205065000;#internacional;trump;5
1572203527000;#international;trump;2
1572216168000;#isisleaderkilled;trump;2
1572210446000;#keepamericagreat;trump;5
1572205143000;#kept;trump;4
1572214452000;#kingtrump;trump;2
1572203424000;#leader;trump;3
1572205577000;#lizwarren;warren;6
1572209159000;#lockthemallup;trump;3
1572205540000;#maddow;election2020;7
1572212437000;#msm;trump;276
1572212870000;#msnbc;election2020;7
1572209118000;#mundialesld;trump;3
1572216129000;#mypresident;sanders;2
1572205012000;#nbc;election2020;5
1572205325000;#neverwarren;warren;7
1572206201000;#nhpolitics;trump;2
1572212144000;#onevoice1lgbtq;trump;2
1572211016000;#onewayoranother;trump;2
1572207419000;#p2;trump;8
1572205200000;#petebuttigieg;election2020;11
1572215462000;#piehole;trump;11
1572203653000;#plasticpelosi;trump;4
1572211913000;#politas;trump;3
1572211021000;#politicalrevolution;election2020;43
1572207598000;#predator;trump;3
1572210531000;#president;trump;2
1572215505000;#prolife;trump;2
1572208422000;#putinsgop;trump;2
1572205167000;#raid;trump;6
1572205639000;#restartmiga;trump;3
1572205672000;#riseup4rojava;trump;2
1572206489000;#russianasset;trump;3
1572213139000;#sanders;trump;2
1572203810000;#special;trump;3
1572205843000;#spookylgbtq;trump;2
1572215015000;#sundayevening;trump;5
1572209702000;#sunday;trump;3
1572204980000;#terrorism;trump;4
1572215974000;#texodus;election2020;2
1572205794000;#theresistance;trump;12
1572209128000;#thesepeoplearestupid;trump;2
1572206676000;#tomorrowspaperstoday;trump;3
1572204358000;#trumpbetrayedourallies;trump;8
1572208794000;#trumpderangementsyndrome;trump;3
1572210468000;#trumpgenocide;trump;5
1572209155000;#trumpgreatestthreattoamerica;trump;3
1572206371000;#trumpisisusesinternetbetterworlddonaldtrump;trump;3
1572206772000;#trumpmeltdown;trump;5
1572211384000;#trumpresign;trump;2
1572214308000;#trump;trump;671
1572205843000;#trumpvideo;trump;3
1572205540000;#tytlive;election2020;7
1572210886000;#usa;trump;46
1572206913000;#veterans;trump;3
1572208918000;#voteblue;warren;3
1572214400000;#wakeupamerica;sanders;2
1572209213000;#washington;trump;2
1572212590000;#winningwithtrump;trump;22
1572213228000;#wwg1wga;trump;11
1572209560000;#yanggang;election2020;17
1572211604000;#yanggang;trump;8
1572208420000;#أعطى;trump;16
1572207237000;#سوریا;trump;3
1572209293000;#مقتل_البغدادي;trump;2
1572214419000;#2020election;trump;5
1572208462000;#adamschiff;trump;2
1572205428000;#admits;trump;6
1572215540000;#albaghdadi;election2020;7
1572209465000;#allroadsseemtoleadtoputin;election2020;2
1572212372000;#amazon;trump;2
1572213391000;#americans;trump;4
1572214497000;#antifa;trump;3
1572208009000;#assest;trump;11
1572211761000;#atención;trump;7
1572203735000;#bagdadi;trump;19
1572216193000;#bbnaija;trump;2
1572206893000;#beatmakers;trump;2
1572206893000;#beats;trump;2
1572206298000;#benedictcollege;warren;2
1572216098000;#berniedetroit;sanders;12
1572215138000;#berniesanders;trump;14
1572216098000;#berniesquad;sanders;66
1572214693000;#bernie;trump;2
1572209229000;#bestpresidentever;trump;2
1572206069000;#bokan;trump;3
1572213676000;#bolton;election2020;2
1572214295000;#breadlinebernie;trump;2
1572211420000;#britishindependence;election2020;6
1572208263000;#bs;trump;2
1572205588000;#california;trump;8
1572208341000;#censure;trump;2
1572208855000;#chicagopolitics;warren;3
1572207553000;#chriswallace;trump;3
1572211644000;#collegeforall;sanders;8
1572213208000;#congratulations;trump;2
1572210623000;#countryoverparty;trump;3
1572205618000;#cowardtrump;trump;2
1572208880000;#cyclist;trump;2
1572211708000;#damaged;trump;11
1572203620000;#dangerous;trump;3
1572205152000;#dark;trump;4
1572216270000;#democraticcandidate;warren;3
1572210447000;#disturbing;trump;3
1572211970000;#dotard;trump;3
1572206283000;#elaboubakralbaghdadi;trump;5
1572212866000;#eleccionesargentina;trump;2
1572212473000;#election2020;trump;22
1572213976000;#election;trump;2
1572209362000;#elizabethwarren;trump;8
1572213460000;#factcheck;trump;3
1572209809000;#fitn;trump;3
1572211884000;#foxnews;trump;5
1572203941000;#fplus;trump;3
1572205143000;#give;trump;6
1572209362000;#globalists;trump;2
1572206069000;#halabja;trump;3
1572209230000;#happydeepavali;trump;5
1572207526000;#happydiwali;trump;3
1572211854000;#healthinsurance;election2020;5
1572210354000;#helena;sanders;18
1572208093000;#hillary;trump;16
1572209665000;#impeachandremove;trump;20
